username,profile_url,display_name,description,location,followers_count,following_count,statuses_count,created_at,predicted_class,confidence_level,prob_0,prob_1,prob_2,uncertainty_score,target_population,locals_vs_diaspora,person_vs_organization,comments
4m2dvxbg7uptwhz,https://x.com/4m2dvxbg7uptwhz,.,,,104.0,383.0,8.0,September 2021,2,0.3373,0.3328,0.3299,0.3373,0.6627,,,,
ahadisherko,https://x.com/ahadisherko,SH.1990,,,47.0,241.0,34.0,September 2021,2,0.3373,0.3328,0.3299,0.3373,0.6627,,,,
80403b7197f4437,https://x.com/80403b7197f4437,@Kaveh_Mesgarian,,,65.0,290.0,526.0,December 2014,0,0.3378,0.3378,0.3285,0.3337,0.6622,,,,
alijannatpour,https://x.com/alijannatpour,Ali Jannatpour,,,35.0,249.0,1280.0,December 2014,0,0.3378,0.3378,0.3285,0.3337,0.6622,,,,
alireza_didani,https://x.com/alireza_didani,Alireza,,,134.0,58.0,1154.0,May 2017,0,0.3378,0.3378,0.3285,0.3337,0.6622,,,,
akbarabasi13481,https://x.com/akbarabasi13481,Akbar.A,,,51.0,91.0,1922.0,November 2016,0,0.3378,0.3378,0.3285,0.3337,0.6622,,,,
ahsana30012,https://x.com/ahsana30012,أبو محمد🇵🇸,امت گرا Internationalism#اللهم_عجل_لولیک_الفرج,,148.0,4060.0,757.0,February 2025,0,0.3378,0.3378,0.3245,0.3377,0.6622,,,,
alamyn39470,https://x.com/alamyn39470,محمد الامين الضبيبي,,,73.0,919.0,101.0,September 2025,0,0.3379,0.3379,0.3243,0.3377,0.6621,,,,
aboarab90547242,https://x.com/aboarab90547242,حبیبی محمد,,,61.0,777.0,175.0,November 2022,0,0.3379,0.3379,0.3243,0.3377,0.6621,,,,
__rumi22_,https://x.com/__rumi22_,rumi,,,13.0,491.0,134.0,November 2023,0,0.338,0.338,0.327,0.335,0.662,,,,
a_01_2024,https://x.com/a_01_2024,Ali,,,48.0,454.0,159.0,February 2025,0,0.338,0.338,0.327,0.335,0.662,,,,
ahoramazda39384,https://x.com/ahoramazda39384,Ahora Mazda,,,28.0,308.0,526.0,March 2024,0,0.338,0.338,0.327,0.335,0.662,,,,
_ghazaltaleb,https://x.com/_ghazaltaleb,Ghazal,,,13.0,47.0,3115.0,February 2020,2,0.3388,0.3328,0.3285,0.3388,0.6612,,,,
ali_94355,https://x.com/ali_94355,a‌,,,0.0,49.0,12.0,March 2024,2,0.3392,0.3315,0.3292,0.3392,0.6608,,,,
alireza_kh29320,https://x.com/alireza_kh29320,Alireza,,,29.0,509.0,15.0,August 2025,2,0.3392,0.3379,0.3229,0.3392,0.6608,,,,
akbarkhan025,https://x.com/akbarkhan025,Akbar kakar,pashtoonkhwa S O,جنوبی پښتونخوا کوټه,3.0,141.0,12.0,November 2025,2,0.3392,0.3375,0.3233,0.3392,0.6608,,,,
alirostami89168,https://x.com/alirostami89168,Ali Rostami,,,7.0,73.0,14.0,December 2025,2,0.3392,0.3315,0.3292,0.3392,0.6608,,,,
ahmed17032001,https://x.com/ahmed17032001,Ahmed1379,,,1.0,137.0,20.0,August 2025,2,0.3392,0.3315,0.3292,0.3392,0.6608,,,,
adamfnward,https://x.com/adamfnward,Adam Ward,,,0.0,49.0,35.0,October 2023,2,0.3392,0.3315,0.3292,0.3392,0.6608,,,,
ali1427_rad,https://x.com/ali1427_rad,Ali rad 109,,,0.0,119.0,27.0,November 2024,2,0.3392,0.3315,0.3292,0.3392,0.6608,,,,
alisoleymaiii,https://x.com/alisoleymaiii,مبارز صلح,,,13.0,244.0,57.0,February 2024,2,0.3392,0.3379,0.3229,0.3392,0.6608,,,,
aliyu_hass50470,https://x.com/aliyu_hass50470,Aliyu Adam Hassan,,,6.0,588.0,7.0,July 2023,2,0.3392,0.3315,0.3292,0.3392,0.6608,,,,
adaneabel3426,https://x.com/adaneabel3426,Abel Adane,,,6.0,190.0,13.0,December 2024,2,0.3392,0.3315,0.3292,0.3392,0.6608,,,,
aliibeyranvand,https://x.com/aliibeyranvand,Alireza Beyranvand,Iran National goalkeeper  @TeamMelliIran @persepolisfc,,0.0,28.0,52.0,April 2020,2,0.3392,0.3316,0.3292,0.3392,0.6608,,,,
ali_ghm1993,https://x.com/ali_ghm1993,Ali Ghiamy,,,7.0,669.0,19.0,July 2024,2,0.3392,0.3315,0.3292,0.3392,0.6608,,,,
adarehgharibi,https://x.com/adarehgharibi,Amirhosein Zandi darehgharibi,دکترای جامعه شناسی,,5.0,217.0,39.0,August 2025,2,0.3392,0.3315,0.3292,0.3392,0.6608,,,,
ahmedjoia15116,https://x.com/ahmedjoia15116,Ahmed kahlid Joia,,,37.0,500.0,14.0,June 2024,2,0.3392,0.3379,0.3229,0.3392,0.6608,,,,
_ipesarekhob,https://x.com/_ipesarekhob,پِسَرِ خوبْ,,,899.0,1056.0,3112.0,August 2022,0,0.3395,0.3395,0.3247,0.3358,0.6605,,,,
alsynya1,https://x.com/alsynya1,أرض النفاق,,,220.0,1932.0,580.0,December 2021,0,0.3395,0.3395,0.3247,0.3358,0.6605,,,,
alastairmurra18,https://x.com/alastairmurra18,Alastair Murray,,,347.0,3178.0,154.0,March 2022,0,0.3395,0.3395,0.3247,0.3358,0.6605,,,,
a9b9e3m1,https://x.com/a9b9e3m1,Ali Erfani,,,1.0,83.0,0.0,May 2021,0,0.3401,0.3401,0.3211,0.3389,0.6599,,,,
aghdadaash,https://x.com/aghdadaash,آق داداش,,,1.0,161.0,29.0,April 2022,0,0.3402,0.3402,0.3292,0.3306,0.6598,,,,
ajmalzamani4,https://x.com/ajmalzamani4,Ajmal Zamani,,,6.0,256.0,5.0,August 2022,0,0.3402,0.3402,0.3292,0.3306,0.6598,,,,
_sihelvi,https://x.com/_sihelvi,İbn Kusay el Kerhani,sex felsefesi etik iyi sikiş felsefesi oncul anal kusay aşığı,,16.0,73.0,119.0,August 2025,1,0.3409,0.3248,0.3409,0.3342,0.6591,,,,
13virginiawoolf,https://x.com/13virginiawoolf,ویرجینیا وولف مناطق محروم,,El Dorado,4064.0,673.0,2320.0,November 2016,0,0.3411,0.3411,0.3298,0.3291,0.6589,,,,
abedimonfared1,https://x.com/abedimonfared1,"Reza Abedi, Psychology Expert",من یک ایرانی مسلمانم و به ایرانی‌بودن و مسلمان‌بودنم افتخار می‌کنم فالو = فالو بک در اسرع وقت,,1598.0,1688.0,2095.0,October 2021,1,0.3414,0.3408,0.3414,0.3178,0.6586,,,,
akramsharifi,https://x.com/akramsharifi,akram sharifi,Journalist /Foreign Policy,"Tehran, Iran",0.0,1591.0,1386.0,January 2013,1,0.3414,0.3389,0.3414,0.3197,0.6586,,,,
abbasi_j_5,https://x.com/abbasi_j_5,عباسی ۴,مهندس برق_عمران/کارشناس رسمی دادگستری/کنشگر و فعال اجتماعی و صنفی/آرزومند ایرانی آباد، شاد و قدرتمند,,1280.0,4321.0,2241.0,December 2022,1,0.3415,0.3322,0.3415,0.3262,0.6585,,,,
about_shaamim,https://x.com/about_shaamim,Shamim,,,1722.0,114.0,339.0,September 2022,1,0.3415,0.3299,0.3415,0.3286,0.6585,,,,
__shim__shim,https://x.com/__shim__shim,Sh!m@,,NY,5769.0,523.0,0.0,September 2017,2,0.3415,0.3409,0.3175,0.3415,0.6585,,,,
akef1680,https://x.com/akef1680,Akef,,,6.0,50.0,1261.0,August 2025,2,0.3416,0.318,0.3404,0.3416,0.6584,,,,
ala_ti_ti,https://x.com/ala_ti_ti,الا‌ تى‌تى,"Hello, I'm still here. All that's left of yesterday!",همه‌جا,2447.0,546.0,1400.0,October 2017,0,0.3416,0.3416,0.3366,0.3218,0.6584,,,,
airwallex,https://x.com/airwallex,Airwallex,Empowering modern businesses to grow beyond borders,"Melbourne, Victoria",9375.0,516.0,1755.0,December 2015,0,0.3416,0.3416,0.3366,0.3218,0.6584,,,,
alinaghi2018,https://x.com/alinaghi2018,AliNaghi,,,5675.0,1284.0,1150.0,March 2018,0,0.3417,0.3417,0.3264,0.3318,0.6583,,,,
alan1234454,https://x.com/alan1234454,ئالان,,,42.0,184.0,435.0,April 2024,2,0.3417,0.3243,0.334,0.3417,0.6583,,,,
aliaydinfromaz,https://x.com/aliaydinfromaz,AliAydin,,,30.0,84.0,260.0,December 2024,2,0.3417,0.3243,0.334,0.3417,0.6583,,,,
aanahelll,https://x.com/aanahelll,Atefeh,,,62.0,93.0,107.0,November 2022,2,0.3417,0.3243,0.334,0.3417,0.6583,,,,
aaaaaaav69,https://x.com/aaaaaaav69,Sasasaa,,,51.0,245.0,405.0,September 2024,2,0.3417,0.3243,0.334,0.3417,0.6583,,,,
aghmamrez,https://x.com/aghmamrez,آق‌ممرض,در آغوش کسشر برای دست‌به‌سرکردن اندوه,,3095.0,335.0,1307.0,October 2013,0,0.3417,0.3417,0.3338,0.3245,0.6583,,,,
abubakarnu55384,https://x.com/abubakarnu55384,Nura Abubakar,,,14.0,77.0,116.0,February 2025,2,0.3417,0.3243,0.334,0.3417,0.6583,,,,
ahmadisaye35320,https://x.com/ahmadisaye35320,sayed Ahmadi,,,80.0,304.0,1615.0,March 2025,2,0.3417,0.3243,0.334,0.3417,0.6583,,,,
ahangar_fa44154,https://x.com/ahangar_fa44154,fufu,,Mazandaran,9.0,49.0,507.0,September 2025,2,0.3417,0.3239,0.3344,0.3417,0.6583,,,,
_garrulus,https://x.com/_garrulus,Garrulus,,,112.0,475.0,654.0,July 2025,2,0.3417,0.3243,0.334,0.3417,0.6583,,,,
_hasanbro,https://x.com/_hasanbro,Hasan Bro,Muslim,,94.0,249.0,173.0,October 2025,2,0.3417,0.3243,0.334,0.3417,0.6583,,,,
abedini_farzane,https://x.com/abedini_farzane,Farzane Abedini,,,79.0,177.0,3931.0,January 2023,2,0.3417,0.3243,0.334,0.3417,0.6583,,,,
2025_samuel,https://x.com/2025_samuel,Dr . Samuel 2025 Samuel arockiasamy (Sam),,,50.0,786.0,19.0,November 2025,2,0.3419,0.3379,0.3202,0.3419,0.6581,,,,
almww10,https://x.com/almww10,almomo,,,19.0,776.0,9.0,October 2025,2,0.3419,0.3379,0.3202,0.3419,0.6581,,,,
ali_damghani_84,https://x.com/ali_damghani_84,Alireza Damghani,دانشجوی علوم سیاسی دانشگاه تهران| Student of political science in UT| عضوی از خانواده حزب‌الله؛ یه جادی... از دیار امام رئوف(ع),,14.0,313.0,7.0,November 2024,0,0.3422,0.3422,0.3322,0.3255,0.6578,,,,
ahlulbayt__313,https://x.com/ahlulbayt__313,Ahlul•Bayt ♡ 📚,Student of Ahlulbayt (A.S)   This Page Is For All tiktok.com/@the_great_muh …,,8520.0,5043.0,2370.0,October 2016,0,0.3423,0.3423,0.3332,0.3245,0.6577,,,,
ahmadsamadi1974,https://x.com/ahmadsamadi1974,Ahmad Samadi,"Senior Journalist  @IranInternational  TV  iranintl.com/en  @IranIntl_En  interested in EU, Germany, international&Iran affaires, Iaea, Iran nuclear",,5188.0,973.0,1979.0,February 2020,1,0.3426,0.3341,0.3426,0.3233,0.6574,,,,
ahali73975790a,https://x.com/ahali73975790a,Şahəli,,Azerbaijan,23.0,107.0,19.0,March 2020,2,0.3429,0.3387,0.3184,0.3429,0.6571,,,,
akbar50847775,https://x.com/akbar50847775,Akbar,,,8.0,64.0,34.0,April 2020,2,0.343,0.3264,0.3306,0.343,0.657,,,,
_fatemeramezani,https://x.com/_fatemeramezani,فاطم‌ه,,,9.0,24.0,540.0,March 2021,2,0.3436,0.3264,0.3301,0.3436,0.6564,,,,
acovertcovfefe,https://x.com/acovertcovfefe,The Doctor,"…and then, as the tale goes, there was a Question. The Oldest Question in the Universe: Who are you when there is No Grey Area?",United States,176.0,592.0,2790.0,January 2025,0,0.3436,0.3436,0.3284,0.328,0.6564,,,,
abidiparisa,https://x.com/abidiparisa,Parisa Abidi,#Transgender #animal lover #Rebel #worker #Atheist #communist #Revolution,"Vancouver, British Columbia",1.0,0.0,5.0,January 2018,2,0.3436,0.3351,0.3212,0.3436,0.6564,,,,
31siye6,https://x.com/31siye6,しろ,,,25.0,45.0,4406.0,October 2021,2,0.3436,0.3327,0.3238,0.3436,0.6564,,,,
adadpay,https://x.com/adadpay,Ali Dadpay,Economist & Educator | A man who makes sense of the world through data and ideas Alum:  @UWM  |  @Virginia_Tech  | Sharif Univ. | Niavaran,"Texas, USA",756.0,463.0,1434.0,August 2024,0,0.3436,0.3436,0.3284,0.328,0.6564,,,,
a_f_cebeci,https://x.com/a_f_cebeci,Ali Fuat Cebeci,konu vatansa gerisi teferruat,Türkiye,9013.0,5337.0,0.0,May 2021,2,0.3438,0.3357,0.3205,0.3438,0.6562,,,,
alahwazireza,https://x.com/alahwazireza,Alahwazi Ridha,,"Wien, Österreich",389.0,397.0,665.0,February 2017,0,0.3439,0.3439,0.3225,0.3336,0.6561,,,,
alex99889,https://x.com/alex99889,alex,,iran,750.0,7499.0,3214.0,July 2019,1,0.3439,0.33,0.3439,0.326,0.6561,,,,
aditya_shrinath,https://x.com/aditya_shrinath,Aditya Shrinath,,"Jaipur, India",12.0,76.0,109.0,July 2019,0,0.3439,0.3439,0.3225,0.3336,0.6561,,,,
alyamaniyeen,https://x.com/alyamaniyeen,313اليماني515,,"Georgia, USA",77.0,989.0,1686.0,February 2024,0,0.344,0.344,0.3184,0.3376,0.656,,,,
adamant_85,https://x.com/adamant_85,AdamAnt,Up yours!,United States,32.0,304.0,1028.0,October 2025,0,0.344,0.344,0.3211,0.3349,0.656,,,,
akram1445449,https://x.com/akram1445449,Akram,,,71.0,2043.0,14.0,January 2025,0,0.3445,0.3445,0.3137,0.3418,0.6555,,,,
1983ms13,https://x.com/1983ms13,Monkey,,"Dubai, United Arab Emirates",226.0,1945.0,2327.0,June 2024,2,0.3445,0.3368,0.3188,0.3445,0.6555,,,,
alisajed465625,https://x.com/alisajed465625,ALI SAJED,,,304.0,956.0,77.0,September 2025,2,0.3445,0.3242,0.3312,0.3445,0.6555,,,,
aleahmikul20525,https://x.com/aleahmikul20525,Princess Queen Aalieyaah Aleah Alal,,,116.0,1678.0,59.0,December 2023,0,0.3445,0.3445,0.3137,0.3418,0.6555,,,,
alrfat13271,https://x.com/alrfat13271,احمد صالح,,,362.0,5657.0,5.0,October 2023,0,0.3445,0.3445,0.3137,0.3418,0.6555,,,,
alihashemi78849,https://x.com/alihashemi78849,ali hshemi,,,324.0,3386.0,639.0,April 2025,0,0.3446,0.3446,0.3178,0.3376,0.6554,,,,
acharya_pa1,https://x.com/acharya_pa1,Pawan Acharya,Postdoctoral Scholar at UAB,,334.0,639.0,71.0,March 2012,0,0.3446,0.3446,0.3264,0.329,0.6554,,,,
ahmedabdal94,https://x.com/ahmedabdal94,Ahmedabdalmohsen,لَنَا حَقٌّ فَإِن أُعْطِينَاهُ وَإِلَّا رَكِبْنَا أَعجَازَ الإِبِلِ وَإِن طَالَ السُّرَى الإمام علي ع,,4.0,276.0,4.0,November 2025,0,0.3449,0.3449,0.3214,0.3337,0.6551,,,,
aghatac8,https://x.com/aghatac8,Aghata,"Art, skin and attitude   Each image tells a story...  Do you dare to see it completely?",,0.0,13.0,13.0,December 2025,0,0.3449,0.3449,0.3194,0.3357,0.6551,,,,
35pmrc4xezu0tvd,https://x.com/35pmrc4xezu0tvd,Максат,,,0.0,4.0,6.0,July 2019,0,0.3451,0.3451,0.3136,0.3413,0.6549,,,,
alikalhamadi,https://x.com/alikalhamadi,Ali Al-Hamadi,,,0.0,27.0,249.0,May 2018,0,0.3452,0.3452,0.3176,0.3372,0.6548,,,,
aarabisaeid,https://x.com/aarabisaeid,Saeid Aarabi,,,0.0,25.0,66.0,July 2025,2,0.3455,0.3314,0.3231,0.3455,0.6545,,,,
